,product name,price
0,BDG Kayla Low-Rise Jean,$69.00
1,BDG Short Sleeve Spill The Tee,$19.00 – $25.00
2,iets frans… Harri Wide Leg Jogger Pant,$59.00
3,Out From Under Bec Low-Rise Mini Skort,$39.00
4,Out From Under Cotton Compression Boatneck Cropped Tee,$25.00
5,BDG Logan Buckle Baggy Barrel Jean,$69.00
6,BDG Long Sleeve Spill The Tee,$29.00
7,BDG Bobbi Baggy Pull-On Pant,$69.00
8,Kimchi Blue Tara Embroidered Cotton Babydoll Cami,$49.00
9,BDG Sunridge Mid-Rise Cargo Balloon Pant,$79.00
10,Out From Under Bec Foldover Shorts,$19.00 – $25.00
11,UO Fia Mesh Off-The-Shoulder Crop Top,$35.00
12,BDG Oscar Relaxed Cutoff Denim Micro Shorts,$39.00 – $49.00
13,BDG Jaya Baggy Boyfriend Jean,$69.00
14,Kimchi Blue Ella Flyaway Ruffle Lace Trim Cami,$39.00
15,BDG Brooke Low-Rise Flare Jean,$69.00
16,BDG Karlie Lock Shoulder Bag,$70.00
17,BDG Off-Duty Ribbed Scoop Neck Short Sleeve Tee,$19.00 – $25.00
18,Out From Under Spring Breaker Slouch Sweatpant,$49.00
19,Out From Under Clarity Cozy Knit Off-The-Shoulder Top,$49.00
20,Out From Under Spring Breaker Slouch Capri Pant,$45.00
21,Out From Under Essential Barrel Leg Full Length Sweatpant,$59.00
22,BDG 360 Utility Low-Rise Straight Leg Pant,$69.00 – $79.00
23,BDG Sawyer Lace Trim Short Sleeve Babydoll Top,$35.00
24,Out From Under Lived In Flare Sweatpant,$49.00
25,Out From Under Diana Layering Lace-Trim Henley Top,$35.00
26,UO Samara Mesh Strapless Midi Dress,$69.00
27,Kimchi Blue Rachel Cardigan,$39.00
28,BDG Station Cocoon Baggy Barrel Leg Cargo Pant,$79.00
29,BDG Kayla Printed Low-Rise Jean,$79.00 – $89.00
30,Umbro UO Exclusive Checkered Performance Shorts,$30.00
31,UO Nola Oversized Off-The-Shoulder Sweater,$49.00
32,Kimchi Blue Caroline Smocked Wide Leg Linen-Blend Pant,$55.00
33,Out From Under Lived In Extreme Wide Leg Sweatpant,$55.00
34,Levi’s® Low Loose Jean,$108.00 – $110.00
35,UO Party For You Jersey Knit Plunging Halter Crop Top,$35.00
36,Out From Under Try Me Bubble Hoodie Sweatshirt,$49.00
37,Out From Under Je T'aime Mesh Cropped Cami,$29.00
38,Kimchi Blue Kate Puff Short Sleeve Cardigan,"Sale price:
$39.00"
39,BAGGU Medium Nylon Crescent Bag,$52.00 – $56.00
40,BAGGU Nylon Bowler Bag,$54.00
41,Out From Under River Ruffle Lace Trim Slip Dress,"Sale price:
$29.00"
42,BDG Ribbed Square Neck Tank Top,$19.00 – $25.00
43,BDG Bobbi Cropped Baggy Pull-On Pant,$65.00
44,Kimchi Blue It's A Vibe Eyelet Lace Trim Corset Tank Top,$49.00
45,UO Bia Jersey Knit Asymmetric Off-The-Shoulder Poncho,$29.00
46,UO Leilani Slim Button Up Shirt,$59.00
47,ASICS Skyhand OG Sportstyle Sneaker,$100.00
48,BDG Nova Ribbed Knit Cropped Halter Top,$19.00 – $25.00
49,BDG Boxy Short Sleeve Spill The Tee,$25.00 – $29.00
50,BDG Drew Cap Sleeve Square Neck Cropped Tee,$19.00 – $25.00
51,Out From Under Bec Pinch-Front Halter Cami,$19.00 – $25.00
52,Kimchi Blue Asterid Lace Trim Asymmetric Babydoll Cami,$45.00
53,Whatever! Makes You Happy Miffy Corduroy Blind Box Mini Tote Bag Keychain,$18.00
54,BDG Front Runner Mid-Rise Baggy Jorts,$59.00
55,UO Essential Aviator Sunglasses,$15.00
56,Out From Under Angel Lace Thong,$10.00
57,Intentionally Blank Cora Jelly Mary Jane Shoe,$48.00
58,Kimchi Blue Keepsake Tie-Front Smocked Cotton Maxi Dress,$79.00
59,BDG Bridget Cotton Slub Knit Oversized Cardigan,"Sale price:
$39.00"
60,BDG Courtney Off-The-Shoulder Oversized Tee,$29.00
61,Mitchell & Ness MLB Los Angeles Dodgers Logo Dad Hat,$35.00
62,Out From Under Spring Breaker Slouch Sweat Shorts,$29.00
63,BAGGU Small Cloud Carry-On Bag,$78.00
64,Cat Graphic Oversized T-Shirt Dress,$39.00
65,BDG A Cut Above Cropped Wide Leg Pant,$79.00
66,BAGGU & Miffy Standard Reusable Tote Bag,"Sale price:
$10.00 – $14.00"
67,Silence + Noise Coyote Cowl Neck Halter Top,$29.00
68,Out From Under Golden Hour Side-Tie Balloon Pant,$55.00
69,Kimchi Blue Robyn Ruffle + Lace Trim Puff Sleeve Button-Up Blouse,$59.00
70,BDG Onna Denim Micro Mini Skirt,$39.00 – $49.00
